Ticker,Name,RSI,Price
001040,CJ,29.012345679012356,107300
079160,CJ CGV,14.150943396226424,5580
00104K,CJ4우(전환),24.858757062146893,80800
000120,CJ대한통운,16.56050955414014,87100
011150,CJ씨푸드,26.34730538922156,3110
001045,CJ우,21.05263157894737,57900
097950,CJ제일제당,26.86567164179104,276000
000990,DB하이텍,29.34782608695653,36800
000210,DL,24.444444444444443,41500
007340,DN오토모티브,13.461538461538453,17410
004840,DRB동일,29.670329670329664,4535
017860,DS단석,20.7070707070707,67000
007700,F&F홀딩스,21.374045801526705,13400
114090,GKL,3.8043478260869534,10770
001250,GS글로벌,18.579234972677583,3355
078935,GS우,23.529411764705884,38550
089470,HDC현대EP,13.829787234042556,3980
322000,HD현대에너지솔루션,18.88111888111888,21900
097230,HJ중공업,21.59090909090908,2410
003580,HLB글로벌,22.769230769230774,4235
011200,HMM,27.86458333333333,17160
487570,HS효성,16.346153846153854,40200
298050,HS효성첨단소재,13.72549019607844,257000
002380,KCC,13.63636363636364,260500
092220,KEC,16.999999999999986,885
003620,KG모빌리티,25.86206896551724,5020
001390,KG케미칼,23.391812865497073,3985
015590,KIB플러그에너지,22.35294117647058,385
034220,LG디스플레이,27.67857142857143,10440
051900,LG생활건강,20.491803278688522,347500
051905,LG생활건강우,17.449664429530202,151600
011070,LG이노텍,28.14258911819887,199200
066570,LG전자,23.4375,96300
037560,LG헬로비전,29.85074626865672,2580
051910,LG화학,21.16788321167884,318000
000680,LS네트웍스,27.210884353741505,3210
181710,NHN,22.769230769230774,15820
008260,NI스틸,19.801980198019805,3895
456040,OCI,29.599999999999994,77900
010060,OCI홀딩스,24.13793103448276,66300
005490,POSCO홀딩스,15.625,331500
004060,SG세계물산,17.54385964912281,337
033530,SJG세종,20.567375886524815,4525
123700,SJM,29.23076923076924,3270
006120,SK디스커버리,28.358208955223887,33300
006125,SK디스커버리우,24.0,31350
03473K,SK우,18.421052631578945,122100
096775,SK이노베이션우,25.882352941176478,77500
475150,SK이터닉스,17.441860465116278,15260
001510,SK증권,10.714285714285708,502
001515,SK증권우,26.356589147286826,1818
28513K,SK케미칼우,29.411764705882362,22850
064960,SNT모티브,21.89781021897811,45450
005610,SPC삼립,11.999999999999986,50200
000860,강남제비스코,17.54385964912281,25400
267290,경동도시가스,24.324324324324323,18770
012610,경인양행,1.724137931034491,2970
013580,계룡건설,20.28985507246378,13500
017040,광명전기,22.200392927308457,1485
083420,그린케미칼,18.181818181818187,5910
014280,금강공업,29.126213592233,4090
014285,금강공업우,27.36842105263159,6970
008870,금비,5.555555555555557,55400
002990,금호건설,6.666666666666657,2985
011780,금호석유,15.78947368421052,133400
011785,금호석유우,22.98850574712644,64400
073240,금호타이어,18.840579710144937,4100
000270,기아,19.40298507462687,92500
004540,깨끗한나라,6.557377049180332,2065
001260,남광토건,29.52380952380952,6160
000325,노루홀딩스우,27.450980392156865,29650
030210,다올투자증권,25.641025641025635,2925
019685,대교우B,29.76190476190476,1304
008060,대덕,22.222222222222214,6140
353200,대덕전자,21.45833333333333,16710
35320K,대덕전자1우,21.42857142857143,8080
000490,대동,24.840764331210195,8220
006570,대림통상,25.21008403361344,2675
001680,대상,27.58620689655173,19790
084690,대상홀딩스,29.924242424242422,8000
128820,대성산업,26.760563380281695,3465
016710,대성홀딩스,20.0,7810
000430,대원강업,14.035087719298247,3800
024890,대원화성,16.431924882629104,1111
001130,대한제분,29.213483146067418,136200
005880,대한해운,13.18407960199005,1809
069460,대호에이엘,12.365591397849471,1041
012510,더존비즈온,23.88059701492537,47400
004835,덕성우,26.436781609195407,9710
024900,덕양산업,20.0,3270
023450,동남합성,28.30188679245282,32700
004140,동방,13.95348837209302,2370
005960,동부건설,11.25,4050
005965,동부건설우,27.272727272727266,21700
008970,동양철관,13.20754716981132,777
018500,동원금속,4.568527918781726,1221
030720,동원수산,17.14285714285714,5750
004890,동일산업,16.17647058823529,40050
002690,동일제강,14.619883040935676,1478
336260,두산퓨얼셀,19.946091644204856,17130
33626K,두산퓨얼셀1우,19.718309859154928,5300
33626L,두산퓨얼셀2우B,3.225806451612911,8340
024090,디씨엠,29.411764705882362,12310
092200,디아이씨,12.280701754385959,3650
377190,디앤디플랫폼리츠,4.054054054054049,3185
013570,디와이,16.129032258064512,4610
032350,롯데관광개발,29.133858267716533,9670
000400,롯데손해보험,28.671328671328666,2240
020150,롯데에너지머티리얼즈,25.573770491803273,35750
280360,롯데웰푸드,27.077747989276133,130000
004990,롯데지주,17.241379310344826,23750
00499K,롯데지주우,26.31578947368422,30450
005300,롯데칠성,6.83229813664596,118000
071840,롯데하이마트,25.531914893617028,8030
027740,마니커,23.86363636363636,929
357430,마스턴프리미어리츠,18.181818181818187,2155
009900,명신산업,20.992366412213727,11710
005360,모나미,23.529411764705884,2265
033920,무학,28.409090909090907,5630
008420,문배철강,20.689655172413794,2270
007120,미래아이앤지,20.44198895027624,1028
357250,미래에셋맵스리츠,28.0,3090
002410,범양건영,5.05617977528091,1031
007210,벽산,26.5625,2025
000890,보해양조,10.256410256410263,421
026940,부국철강,28.57142857142857,2500
003960,사조대림,23.324396782841816,43350
014710,사조씨푸드,15.64245810055867,6800
001470,삼부토건,27.368421052631575,470
028050,삼성E&A,20.23809523809524,19850
448730,삼성FN리츠,24.657534246575338,4825
006400,삼성SDI,18.421052631578945,324000
006405,삼성SDI우,20.0,208000
006660,삼성공조,17.74647887323944,10590
009150,삼성전기,14.503816793893137,120400
009155,삼성전기우,18.07228915662651,60200
005930,삼성전자,22.689075630252105,57700
